scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,XGB,0.24323999999999998,0.1935989617740756,5.29714,1.2322525057795581,5.9766,0.30266,0.23661841221680105,-0.03862000000000001,5,emotion_induction_1,ADK,phq_8,PHQ8,full
RobustScaler,GB,0.21344,0.20334753010548223,5.40076,1.1114601310888303,6.1668199999999995,0.24295999999999998,0.22362925345312046,-0.10225999999999999,5,emotion_induction_1,ADK,phq_8,PHQ8,full
RobustScaler,Ridge,0.1699,0.15206039918400843,7.081740000000001,3.3661104138159224,9.4511,0.22324000000000002,0.1849393900714502,-2.40826,5,emotion_induction_1,ADK,phq_8,PHQ8,full
RobustScaler,MLP,0.14897999999999997,0.10426642316680859,7.675999999999999,3.8988028111203574,11.36602,0.19042,0.12081389406852178,-4.35768,5,emotion_induction_1,ADK,phq_8,PHQ8,full
RobustScaler,ElasticNet,0.14811999999999997,0.14739284921596435,6.725760000000001,3.180345579964542,8.89126,0.21227999999999997,0.18683688607981025,-1.96576,5,emotion_induction_1,ADK,phq_8,PHQ8,full
RobustScaler,Lasso,0.14626,0.15261719431309173,6.8940399999999995,3.1530385214900245,9.11578,0.19588,0.17285990570401225,-2.09432,5,emotion_induction_1,ADK,phq_8,PHQ8,full
RobustScaler,SVR,0.11623999999999998,0.18009584392761535,5.77504,1.0402391037641296,6.43274,0.13935999999999998,0.2301590819411652,-0.22824,5,emotion_induction_1,ADK,phq_8,PHQ8,full
RobustScaler,RF,0.10802,0.12973809001214714,5.576560000000001,1.0993364603250453,6.23612,0.15409999999999996,0.21649444565623388,-0.12855999999999998,5,emotion_induction_1,ADK,phq_8,PHQ8,full
StandardScaler,Lasso,0.10246,0.07279497235386521,7.163320000000001,3.0508832945558573,10.2867,0.14576,0.09911451962250536,-2.55094,5,emotion_induction_1,ADK,phq_8,PHQ8,full
RobustScaler,CatBoost,0.09452,0.18850214057140038,5.58736,1.0819393527365568,6.2883,0.14627999999999997,0.31974026490262375,-0.15338000000000002,5,emotion_induction_1,ADK,phq_8,PHQ8,full
StandardScaler,Ridge,0.09409999999999999,0.0760879425401949,7.49786,3.0357491131514807,10.758260000000002,0.13152,0.10318532841446017,-2.89196,5,emotion_induction_1,ADK,phq_8,PHQ8,full
StandardScaler,ElasticNet,0.08612,0.0867499394812469,7.17116,2.8967532381961703,10.201179999999999,0.1224,0.11854009870081937,-2.4458999999999995,5,emotion_induction_1,ADK,phq_8,PHQ8,full
MinMaxScaler,MLP,0.08349999999999999,0.2658803114185027,6.496720000000001,2.106608097629932,7.981520000000001,0.10422000000000001,0.314062703930282,-0.9989399999999999,5,emotion_induction_1,ADK,phq_8,PHQ8,full
StandardScaler,SVR,0.07841999999999999,0.027139123051417854,5.8914800000000005,0.617131385524995,6.667520000000001,0.12516,0.061191772322755945,-0.3466,5,emotion_induction_1,ADK,phq_8,PHQ8,full
MinMaxScaler,Lasso,0.060039999999999996,0.17265918162669486,7.355500000000001,3.037479085524705,10.2765,0.08314,0.23383715059844531,-2.51328,5,emotion_induction_1,ADK,phq_8,PHQ8,full
StandardScaler,MLP,0.05722000000000001,0.023860155070745036,8.14628,3.943059111527495,12.36466,0.08062,0.05032739810480968,-4.922179999999999,5,emotion_induction_1,ADK,phq_8,PHQ8,full
RobustScaler,ET,0.05699999999999998,0.2445944602806858,5.7674199999999995,1.171817315966956,6.4355,0.08493999999999999,0.38663753439106247,-0.22844000000000003,5,emotion_induction_1,ADK,phq_8,PHQ8,full
MinMaxScaler,Ridge,0.052500000000000005,0.18925333550561269,7.460580000000002,3.127308272620402,10.513720000000001,0.0748,0.25117905963674597,-2.70734,5,emotion_induction_1,ADK,phq_8,PHQ8,full
StandardScaler,ET,0.048240000000000005,0.060523160855989674,5.837680000000001,1.3650563786891738,6.655199999999999,0.06616,0.0856765312089606,-0.2819,5,emotion_induction_1,ADK,phq_8,PHQ8,full
MinMaxScaler,ElasticNet,0.041639999999999996,0.19307828205160724,7.1795,2.5969408474202873,9.709780000000002,0.06308,0.27269982031530565,-2.0244000000000004,5,emotion_induction_1,ADK,phq_8,PHQ8,full
